
Consulta: 1. Consultar escolas com mais de uma fonte de água
('CENTRO DE EDUCACAO INFANTIL CHAPEUZINHO VERMELHO', 10)
('COLEGIO AGAPE', 10)
('ESCOLA MUNICIPAL NOSSA SENHORA DO ROSARIO', 10)
('ESCOLA SAO JOAO', 10)
('COLEGIO ARCO IRIS', 10)
('CENTRO DE EDUCACAO INFANTIL PRIMEIROS PASSOS', 10)
('COLEGIO SANTO AGOSTINHO', 10)
('UE DOM PEDRO II', 10)
('CENTRO EDUCACIONAL CONSTRUIR', 10)
('ESCOLA CRESCER', 10)
('EM TANCREDO NEVES', 10)
('ESCOLA BRANCA DE NEVE', 10)
('EMEI BEM ME QUER', 10)
('ESCOLA MUNICIPAL SANTA INES', 10)
('ESCOLA MUNICIPAL D PEDRO I', 10)
('ESCOLA MUNICIPAL ULISSES GUIMARAES', 10)
('CENTRO EDUCACIONAL CRIANCA FELIZ', 10)
('EM SANTA MARIA', 10)
('ESCOLA RAIO DE SOL', 10)
('ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CRIANCA FELIZ', 10)
('E M E F S SEBASTIAO', 10)
('EMEF SANTA TEREZINHA', 10)
('COLEGIO SAO JUDAS TADEU', 10)
('UE RUI BARBOSA', 10)
('EM SANTA TEREZINHA', 10)
('ESCOLA MUNICIPAL CLERISTON ANDRADE', 10)
('EDUCANDARIO MENINO JESUS', 10)
('EM SAO PEDRO', 10)
('E M E I F SAO RAIMUNDO', 10)
('ESC MUL BOM JESUS', 10)
('CENTRO EDUCACIONAL PASSO A PASSO', 10)
('E M E I F SAO SEBASTIAO', 10)
('ESCOLA TIRADENTES', 10)
('EMEF SANTA RITA DE CASSIA', 10)
('ESCOLA CANTINHO DO SABER', 10)
('PEQUENO POLEGAR C M E I', 10)
('EM MENINO JESUS', 10)
('EM CECILIA MEIRELES', 10)
('CENTRO EDUCACIONAL RENASCER', 9)
('ESCOLA MUNICIPAL JOSE DE ALENCAR', 9)
('ESCOLA MUNICIPAL PAULO VI', 9)
('ESCOLA DINAMICA', 9)
('ESCOLA MUNICIPAL PEDRO ALVARES CABRAL', 9)
('EMEF BARAO DO RIO BRANCO', 9)
('ESCOLA MUNICIPAL CORACAO DE JESUS', 9)
('EM SANTA RITA', 9)
('ESCOLA MUNICIPAL SANTA CLARA', 9)
('EMEF SAO SEBASTIAO', 9)
('ESCOLA MUNICIPAL NOVA VIDA', 9)
('E M E F SAO TOME', 9)
('ESCOLA MODELO', 9)
('MONTEIRO LOBATO COLEGIO', 9)
('DOM BOSCO COLEGIO', 9)
('E M E F SAGRADO CORACAO DE JESUS', 9)
('CENTRO MUNICIPAL DE EDUCACAO INFANTIL', 9)
('EMEIF SANTO ANTONIO', 9)
('PEDACINHO DO CEU C M E I', 9)
('ESCOLA MUNICIPAL LUIZ VIANA FILHO', 9)
('ESC MUN SAO FRANCISCO', 9)
('ESCOLA MUNICIPAL CARLOS DRUMMOND DE ANDRADE', 9)
('CENTRO DE EDUCACAO INFANTIL AQUARELA', 9)
('ESCOLA MUNDO INFANTIL', 9)
('ESCOLA MUNICIPAL SANTA BARBARA', 9)
('MUNDO ENCANTADO C M E I', 9)
('ESCOLA SANTA TEREZINHA', 9)
('EE SAO FRANCISCO DE ASSIS', 9)
('UE DUQUE DE CAXIAS', 9)
('E M E F NSRA DE FATIMA', 9)
('COLEGIO NOSSA SENHORA DE LOURDES', 9)
('COLEGIO RENASCER', 9)
('CENTRO MUNICIPAL DE EDUCACAO INFANTIL PEQUENO PRINCIPE', 9)
('COLEGIO NOSSA SENHORA DO CARMO', 9)
('ESCOLA MUNICIPAL BARAO DO RIO BRANCO', 9)
('CRECHE SONHO DE CRIANCA', 9)
('EM SAO JUDAS TADEU', 9)
('CENTRO MUNICIPAL DE EDUCACAO INFANTIL MONTEIRO LOBATO', 9)
('SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL', 9)
('ESC MUL SAO PEDRO', 9)
('ESCOLA MUNICIPAL SENHORA SANTANA', 9)
('CRIANCA ESPERANCA C M E I', 9)
('CASTRO ALVES E M EI EF', 9)
('E M E F NOSSA SENHORA APARECIDA', 9)
('EE DOM BOSCO', 9)
('EM SAO GERALDO', 9)
('EMEF SAO FRANCISCO DE ASSIS', 9)
('EM NOSSA SENHORA DE FATIMA', 9)
('ESCOLA MUNICIPAL BOA SORTE', 9)
('UNIDADE ESCOLAR SANTO ANTONIO', 9)
('COLEGIO SAO PAULO', 9)
('CENTRO DE ENSINO GRAU TECNICO', 9)
('CECILIA MEIRELES E M EI EF', 9)
('ESC MUL SAO FRANCISCO', 9)
('E M E F NOSSA SENHORA DO PERPETUO SOCORRO', 9)
('CRECHE MUNICIPAL PEQUENO PRINCIPE', 9)
('EDUCANDARIO PAULO FREIRE', 9)
('E M E F SAO JOAO', 9)
('ESCOLA MUNICIPAL PROFESSOR PAULO FREIRE', 9)
('ESC NOSSA SENHORA DE NAZARE', 9)
('ESC MUL SANTO ANTONIO', 9)
('ESCOLA MARIA QUITERIA', 9)
('CANTINHO FELIZ C M E I', 9)
('ESCOLA GIRASSOL', 9)
('COLEGIO ANCHIETA', 9)
('ESCOLA SAO FRANCISCO', 9)
('ESCOLA MUNICIPAL PADRE CICERO', 9)
('ESCOLA CAMINHO DO SABER', 9)
('COLEGIO MODELO LUIS EDUARDO MAGALHAES', 9)
('E M E F PAULO FREIRE', 9)
('EM JOSE DE ANCHIETA', 9)
('COLEGIO CONEXAO', 9)
('ESCOLA DE EDUCACAO INFANTIL PINGO DE GENTE', 9)
('E M E F STA LUZIA', 9)
('EMEF MONTEIRO LOBATO', 9)
('EM SAO DOMINGOS', 9)
('E M E I F SAO BENEDITO', 8)
('ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PINGO DE GENTE', 8)
('ESC MUN SAO RAIMUNDO', 8)
('E M E F NSRA DA CONCEICAO', 8)
('PEM CANTINHO FELIZ', 8)
('RENASCER E EI EF MOD ED ESP', 8)
('E M E F MAGALHAES BARATA', 8)
('CENTRO EDUCACIONAL AGAPE', 8)
('CENTRO EDUCACIONAL MUNDO DO SABER', 8)
('ESCOLA MUNICIPAL SENHOR DO BOMFIM', 8)
('EDUCANDARIO SANTA TEREZINHA', 8)
('RAIO DE SOL C M E I', 8)
('CENTRO MUNICIPAL DE EDUCACAO INFANTIL MENINO JESUS', 8)
('ESCOLA MUNICIPAL TOME DE SOUZA', 8)
('E M E F SAO PEDRO', 8)
('NOSSA SENHORA APARECIDA C M E I', 8)
